name,serving_size,calories,saturated_fat,protein,carbohydrate,fat,fiber,sugars,saturated_fatty_acids,monounsaturated_fatty_acids,Category,Type
"Beef, raw, separable lean only, hind shin, imported, New Zealand",100 g,114,0.9g,21.46 g,0.00 g,3.12 g,0.0 g,0.00 g,0.881 g,1.257 g,Protein,Red Meat
"Veal, grilled, cooked, separable lean only, blade chop, shoulder",100 g,159,2.1g,27.33 g,0.00 g,5.53 g,0.0 g,0.00 g,2.092 g,2.677 g,Protein,Other
"Veal, grilled, cooked, boneless, cutlet, cap off, top round, leg",100 g,151,1g,31.89 g,0.00 g,2.63 g,0.0 g,0.00 g,1.012 g,1.274 g,Protein,Other
"Peas, with salt, drained, boiled, cooked, sprouted, mature seeds",100 g,98,0.1g,7.05 g,17.08 g,0.51 g,0,0,0.090 g,0.045 g,Carbs,Other
"Veal, raw, separable lean only, bone-in, hind, shank, Australian",100 g,122,1.7g,20.37 g,0.00 g,4.47 g,0.0 g,0.00 g,1.700 g,1.708 g,Protein,Other
"DIGIORNO Pizza, baked, frozen, thin crispy crust, cheese topping",100 g,247,4.6g,12.96 g,26.47 g,9.91 g,3.0 g,0,4.601 g,2.736 g,Carbs,Dairy (Vegetarian)
"Milk, without added vitamin A and vitamin D, evaporated, canned",100 g,135,4.6g,6.81 g,10.04 g,7.56 g,0.0 g,10.04 g,4.591 g,2.335 g,Mixed,Dairy (Vegetarian)
"French toast, made with low fat (2%) milk, prepared from recipe",100 g,229,2.7g,7.70 g,25.00 g,10.80 g,0,0,2.723 g,4.524 g,Carbs,Dairy (Vegetarian)
"Salmon, without skin and bones, drained solids, canned, sockeye",100 g,158,1.2g,26.33 g,0.00 g,5.87 g,0.0 g,0.00 g,1.211 g,1.925 g,Protein,Fish
"Broccoli, without salt, drained, boiled, cooked, spears, frozen",100 g,28,,3.10 g,5.36 g,0.11 g,3.0 g,1.47 g,0.018 g,0.008 g,Vegetables,Vegetables (Vegan)
"Chicken, stewed, cooked, meat and skin, leg, broilers or fryers",100 g,220,3.6g,24.17 g,0.00 g,12.92 g,0.0 g,0.00 g,3.570 g,5.040 g,Protein,Poultry
"Bread, made with low fat (2%) milk, prepared from recipe, white",100 g,285,1.2g,7.90 g,49.60 g,5.70 g,2.0 g,0,1.178 g,1.298 g,Carbs,Dairy (Vegetarian)
"Beans, with salt, drained, boiled, cooked, frozen, yellow, snap",100 g,28,,1.49 g,6.45 g,0.17 g,3.0 g,1.88 g,0.044 g,0.008 g,Vegetables,Legumes (Vegan)
"Pizza, cooked, frozen, rising crust, meat and vegetable topping",100 g,271,4.6g,12.63 g,28.78 g,11.75 g,2.3 g,7.26 g,4.586 g,4.343 g,Carbs,Other
